Type,N,Log2_N,GFLOPS,Bandwidth_GBs
Addition,1024,10,0.0279598,0.335518
Multiplication,1024,10,0.00610944,0.0733132
Addition,2048,11,0.0166532,0.199839
Multiplication,2048,11,0.31746,3.80952
Addition,4096,12,0.0287595,0.345114
Multiplication,4096,12,0.818414,9.82097
Addition,8192,13,0.794045,9.52853
Multiplication,8192,13,1.70213,20.4255
Addition,16384,14,3.73996,44.8795
Multiplication,16384,14,3.64932,43.7919
Addition,32768,15,6.82212,81.8654
Multiplication,32768,15,6.28993,75.4791
Addition,65536,16,11.6828,140.194
Multiplication,65536,16,13.1704,158.045
Addition,131072,17,23.3923,280.708
Multiplication,131072,17,25.2062,302.474
Addition,262144,18,48.4447,581.336
Multiplication,262144,18,48.3019,579.623
Addition,524288,19,47.8505,574.206
Multiplication,524288,19,39.084,469.008
Addition,1048576,20,98.5504,1182.6
Multiplication,1048576,20,101.796,1221.55
Addition,2097152,21,132.289,1587.47
Multiplication,2097152,21,98.0051,1176.06
Addition,4194304,22,40.4007,484.808
Multiplication,4194304,22,40.1987,482.385
Addition,8388608,23,37.1025,445.23
Multiplication,8388608,23,37.2406,446.887
Addition,16777216,24,30.1012,361.215
Multiplication,16777216,24,37.02,444.24
Addition,33554432,25,32.1131,385.357
Multiplication,33554432,25,37.1489,445.787
Addition,67108864,26,37.2071,446.485
Multiplication,67108864,26,35.0913,421.096
Addition,134217728,27,35.6282,427.538
Multiplication,134217728,27,34.8664,418.397
Addition,268435456,28,35.934,431.208
Multiplication,268435456,28,35.8646,430.376
